IMO Number,Name of Ship,Gross Tonnage,Type of Ship,Year of Build,Flag
1000021,MONTKAJ,1980,Yacht,1995,Cayman Islands (CYM)
7406784,EBANO,1865,General Cargo Ship,1975,Not Known
